,subject,list,item,input,output,study,recall,repeat,intrusion,prior_list,prior_input,word,corr_rule_numeric,rel_subj_boundary,block,run,points,subid,recalled
0,53987712fdf99b68e3a45021,1,badge,53.0,16.0,True,True,0,False,,,badge,3.0,3.0,8.0,1.0,1.0,53987712fdf99b68e3a45021,True
1,53987712fdf99b68e3a45021,1,barn,51.0,2.0,True,True,0,False,,,barn,3.0,1.0,8.0,1.0,1.0,53987712fdf99b68e3a45021,True
2,53987712fdf99b68e3a45021,1,bean,49.0,,True,False,0,False,,,bean,1.0,-1.0,7.0,1.0,1.0,53987712fdf99b68e3a45021,False
3,53987712fdf99b68e3a45021,1,bed,6.0,,True,False,0,False,,,bed,2.0,-3.0,1.0,1.0,1.0,53987712fdf99b68e3a45021,False
4,53987712fdf99b68e3a45021,1,brick,19.0,,True,False,0,False,,,brick,1.0,3.0,3.0,1.0,1.0,53987712fdf99b68e3a45021,False
5,53987712fdf99b68e3a45021,1,broccoli,37.0,9.0,True,True,0,False,,,broccoli,3.0,0.0,6.0,1.0,0.0,53987712fdf99b68e3a45021,True
6,53987712fdf99b68e3a45021,1,brush,13.0,6.0,True,True,0,False,,,brush,0.0,-3.0,2.0,1.0,1.0,53987712fdf99b68e3a45021,True
7,53987712fdf99b68e3a45021,1,buffalo,50.0,3.0,True,True,0,False,,,buffalo,3.0,0.0,8.0,1.0,0.0,53987712fdf99b68e3a45021,True
8,53987712fdf99b68e3a45021,1,bush,38.0,17.0,True,True,0,False,,,bush,3.0,1.0,6.0,1.0,0.0,53987712fdf99b68e3a45021,True
9,53987712fdf99b68e3a45021,1,can,35.0,1.0,True,True,0,False,,,can,0.0,-2.0,5.0,1.0,1.0,53987712fdf99b68e3a45021,True
10,53987712fdf99b68e3a45021,1,car,47.0,,True,False,0,False,,,car,1.0,-3.0,7.0,1.0,1.0,53987712fdf99b68e3a45021,False
11,53987712fdf99b68e3a45021,1,city,5.0,,True,False,0,False,,,city,2.0,4.0,1.0,1.0,0.0,53987712fdf99b68e3a45021,False
12,53987712fdf99b68e3a45021,1,desk,1.0,,True,False,0,False,,,desk,2.0,0.0,1.0,1.0,0.0,53987712fdf99b68e3a45021,False
13,53987712fdf99b68e3a45021,1,father,30.0,7.0,True,True,0,False,,,father,0.0,1.0,5.0,1.0,1.0,53987712fdf99b68e3a45021,True
14,53987712fdf99b68e3a45021,1,ferry,15.0,,True,False,0,False,,,ferry,0.0,-1.0,2.0,1.0,1.0,53987712fdf99b68e3a45021,False
15,53987712fdf99b68e3a45021,1,gazelle,48.0,,True,False,0,False,,,gazelle,1.0,-2.0,7.0,1.0,1.0,53987712fdf99b68e3a45021,False
16,53987712fdf99b68e3a45021,1,glacier,10.0,,True,False,0,False,,,glacier,0.0,1.0,2.0,1.0,1.0,53987712fdf99b68e3a45021,False
17,53987712fdf99b68e3a45021,1,goggle,24.0,,True,False,0,False,,,goggle,2.0,1.0,4.0,1.0,0.0,53987712fdf99b68e3a45021,False
18,53987712fdf99b68e3a45021,1,hamster,39.0,,True,False,0,False,,,hamster,3.0,2.0,6.0,1.0,1.0,53987712fdf99b68e3a45021,False
19,53987712fdf99b68e3a45021,1,hand,40.0,5.0,True,True,0,False,,,hand,3.0,3.0,6.0,1.0,1.0,53987712fdf99b68e3a45021,True
20,53987712fdf99b68e3a45021,1,hippo,9.0,,True,False,0,False,,,hippo,0.0,0.0,2.0,1.0,0.0,53987712fdf99b68e3a45021,False
21,53987712fdf99b68e3a45021,1,island,21.0,,True,False,0,False,,,island,1.0,-2.0,3.0,1.0,1.0,53987712fdf99b68e3a45021,False
22,53987712fdf99b68e3a45021,1,jail,54.0,14.0,True,True,0,False,,,jail,3.0,-3.0,8.0,1.0,1.0,53987712fdf99b68e3a45021,True
23,53987712fdf99b68e3a45021,1,jar,16.0,,True,False,0,False,,,jar,1.0,0.0,3.0,1.0,0.0,53987712fdf99b68e3a45021,False
24,53987712fdf99b68e3a45021,1,lamb,18.0,,True,False,0,False,,,lamb,1.0,2.0,3.0,1.0,0.0,53987712fdf99b68e3a45021,False
25,53987712fdf99b68e3a45021,1,lemon,11.0,,True,False,0,False,,,lemon,0.0,2.0,2.0,1.0,0.0,53987712fdf99b68e3a45021,False
26,53987712fdf99b68e3a45021,1,lock,32.0,,True,False,0,False,,,lock,0.0,3.0,5.0,1.0,1.0,53987712fdf99b68e3a45021,False
27,53987712fdf99b68e3a45021,1,mango,34.0,,True,False,0,False,,,mango,0.0,-3.0,5.0,1.0,1.0,53987712fdf99b68e3a45021,False
28,53987712fdf99b68e3a45021,1,map,55.0,,True,False,0,False,,,map,3.0,-2.0,8.0,1.0,1.0,53987712fdf99b68e3a45021,False
29,53987712fdf99b68e3a45021,1,match,26.0,,True,False,0,False,,,match,2.0,3.0,4.0,1.0,0.0,53987712fdf99b68e3a45021,False
30,53987712fdf99b68e3a45021,1,meadow,20.0,,True,False,0,False,,,meadow,1.0,-3.0,3.0,1.0,1.0,53987712fdf99b68e3a45021,False
31,53987712fdf99b68e3a45021,1,mite,33.0,4.0,True,True,0,False,,,mite,0.0,4.0,5.0,1.0,1.0,53987712fdf99b68e3a45021,True
32,53987712fdf99b68e3a45021,1,mother,36.0,8.0,True,True,0,False,,,mother,0.0,-1.0,5.0,1.0,1.0,53987712fdf99b68e3a45021,True
33,53987712fdf99b68e3a45021,1,mug,28.0,,True,False,0,False,,,mug,2.0,-1.0,4.0,1.0,1.0,53987712fdf99b68e3a45021,False
34,53987712fdf99b68e3a45021,1,notebook,14.0,12.0,True,True,0,False,,,notebook,0.0,-2.0,2.0,1.0,1.0,53987712fdf99b68e3a45021,True
35,53987712fdf99b68e3a45021,1,oasis,44.0,,True,False,0,False,,,oasis,1.0,1.0,7.0,1.0,1.0,53987712fdf99b68e3a45021,False
36,53987712fdf99b68e3a45021,1,office,17.0,,True,False,0,False,,,office,1.0,1.0,3.0,1.0,0.0,53987712fdf99b68e3a45021,False
37,53987712fdf99b68e3a45021,1,orca,29.0,10.0,True,True,0,False,,,orca,0.0,0.0,5.0,1.0,0.0,53987712fdf99b68e3a45021,True
38,53987712fdf99b68e3a45021,1,ostrich,4.0,,True,False,0,False,,,ostrich,2.0,3.0,1.0,1.0,1.0,53987712fdf99b68e3a45021,False
