,subject,list,trial_type,position,item,subid
0,5617da425c62cf00118231b8,1,study,1,seed,5617da425c62cf00118231b8
1,5617da425c62cf00118231b8,1,study,2,land,5617da425c62cf00118231b8
2,5617da425c62cf00118231b8,1,study,3,burger,5617da425c62cf00118231b8
3,5617da425c62cf00118231b8,1,study,4,albatross,5617da425c62cf00118231b8
4,5617da425c62cf00118231b8,1,study,5,goat,5617da425c62cf00118231b8
5,5617da425c62cf00118231b8,1,study,6,cheetah,5617da425c62cf00118231b8
6,5617da425c62cf00118231b8,1,study,7,pear,5617da425c62cf00118231b8
7,5617da425c62cf00118231b8,1,study,8,cherry,5617da425c62cf00118231b8
8,5617da425c62cf00118231b8,1,study,9,book,5617da425c62cf00118231b8
9,5617da425c62cf00118231b8,1,study,10,pen,5617da425c62cf00118231b8
10,5617da425c62cf00118231b8,1,study,11,sandal,5617da425c62cf00118231b8
11,5617da425c62cf00118231b8,1,study,12,city,5617da425c62cf00118231b8
12,5617da425c62cf00118231b8,1,study,13,sea,5617da425c62cf00118231b8
13,5617da425c62cf00118231b8,1,study,14,jail,5617da425c62cf00118231b8
14,5617da425c62cf00118231b8,1,study,15,butterfly,5617da425c62cf00118231b8
15,5617da425c62cf00118231b8,1,study,16,notebook,5617da425c62cf00118231b8
16,5617da425c62cf00118231b8,1,study,17,lip,5617da425c62cf00118231b8
17,5617da425c62cf00118231b8,1,study,18,bowtie,5617da425c62cf00118231b8
18,5617da425c62cf00118231b8,1,study,19,cloud,5617da425c62cf00118231b8
19,5617da425c62cf00118231b8,1,study,20,hammer,5617da425c62cf00118231b8
20,5617da425c62cf00118231b8,1,study,21,goose,5617da425c62cf00118231b8
21,5617da425c62cf00118231b8,1,study,22,bridge,5617da425c62cf00118231b8
22,5617da425c62cf00118231b8,1,study,23,goggle,5617da425c62cf00118231b8
23,5617da425c62cf00118231b8,1,study,24,tie,5617da425c62cf00118231b8
24,5617da425c62cf00118231b8,1,study,25,orca,5617da425c62cf00118231b8
25,5617da425c62cf00118231b8,1,study,26,glass,5617da425c62cf00118231b8
26,5617da425c62cf00118231b8,1,study,27,trout,5617da425c62cf00118231b8
27,5617da425c62cf00118231b8,1,study,28,wasp,5617da425c62cf00118231b8
28,5617da425c62cf00118231b8,1,study,29,ocean,5617da425c62cf00118231b8
29,5617da425c62cf00118231b8,1,study,30,tablet,5617da425c62cf00118231b8
30,5617da425c62cf00118231b8,1,study,31,dolphin,5617da425c62cf00118231b8
31,5617da425c62cf00118231b8,1,study,32,boy,5617da425c62cf00118231b8
32,5617da425c62cf00118231b8,1,study,33,toe,5617da425c62cf00118231b8
33,5617da425c62cf00118231b8,1,study,34,lock,5617da425c62cf00118231b8
34,5617da425c62cf00118231b8,1,study,35,duck,5617da425c62cf00118231b8
35,5617da425c62cf00118231b8,1,study,36,skunk,5617da425c62cf00118231b8
36,5617da425c62cf00118231b8,1,study,37,floss,5617da425c62cf00118231b8
37,5617da425c62cf00118231b8,1,study,38,hyena,5617da425c62cf00118231b8
38,5617da425c62cf00118231b8,1,study,39,waterfall,5617da425c62cf00118231b8
39,5617da425c62cf00118231b8,1,study,40,seahorse,5617da425c62cf00118231b8
40,5617da425c62cf00118231b8,1,study,41,train,5617da425c62cf00118231b8
41,5617da425c62cf00118231b8,1,study,42,coffin,5617da425c62cf00118231b8
42,5617da425c62cf00118231b8,1,study,43,boat,5617da425c62cf00118231b8
43,5617da425c62cf00118231b8,1,study,44,dam,5617da425c62cf00118231b8
44,5617da425c62cf00118231b8,1,study,45,cage,5617da425c62cf00118231b8
45,5617da425c62cf00118231b8,1,study,46,boulder,5617da425c62cf00118231b8
46,5617da425c62cf00118231b8,1,study,47,ferry,5617da425c62cf00118231b8
47,5617da425c62cf00118231b8,1,study,48,board,5617da425c62cf00118231b8
48,5617da425c62cf00118231b8,1,study,49,glacier,5617da425c62cf00118231b8
49,5617da425c62cf00118231b8,1,study,50,beach,5617da425c62cf00118231b8
50,5617da425c62cf00118231b8,1,study,51,girl,5617da425c62cf00118231b8
51,5617da425c62cf00118231b8,1,study,52,ladder,5617da425c62cf00118231b8
52,5617da425c62cf00118231b8,1,study,53,tulip,5617da425c62cf00118231b8
53,5617da425c62cf00118231b8,1,study,54,crow,5617da425c62cf00118231b8
54,5617da425c62cf00118231b8,1,study,55,pebble,5617da425c62cf00118231b8
55,5617da425c62cf00118231b8,1,study,56,cord,5617da425c62cf00118231b8
56,5617da425c62cf00118231b8,1,recall,1,ferry,5617da425c62cf00118231b8
57,5617da425c62cf00118231b8,1,recall,2,hyena,5617da425c62cf00118231b8
58,5617da425c62cf00118231b8,1,recall,3,mouse,5617da425c62cf00118231b8
59,5617da425c62cf00118231b8,1,recall,4,girl,5617da425c62cf00118231b8
60,5617da425c62cf00118231b8,1,recall,5,cord,5617da425c62cf00118231b8
61,5617da425c62cf00118231b8,1,recall,6,mouse,5617da425c62cf00118231b8
62,5617da425c62cf00118231b8,1,recall,7,boat,5617da425c62cf00118231b8
63,5617da425c62cf00118231b8,1,recall,8,pebble,5617da425c62cf00118231b8
64,5617da425c62cf00118231b8,1,recall,9,boulder,5617da425c62cf00118231b8
65,5617da425c62cf00118231b8,1,recall,10,dolphin,5617da425c62cf00118231b8
66,5617da425c62cf00118231b8,1,recall,11,tablet,5617da425c62cf00118231b8
67,5617da425c62cf00118231b8,1,recall,12,albatross,5617da425c62cf00118231b8
68,5617da425c62cf00118231b8,1,recall,13,butterfly,5617da425c62cf00118231b8
69,5617da425c62cf00118231b8,2,study,1,yacht,5617da425c62cf00118231b8
70,5617da425c62cf00118231b8,2,study,2,soap,5617da425c62cf00118231b8
71,5617da425c62cf00118231b8,2,study,3,badge,5617da425c62cf00118231b8
72,5617da425c62cf00118231b8,2,study,4,sword,5617da425c62cf00118231b8
73,5617da425c62cf00118231b8,2,study,5,drawer,5617da425c62cf00118231b8
74,5617da425c62cf00118231b8,2,study,6,reef,5617da425c62cf00118231b8
75,5617da425c62cf00118231b8,2,study,7,straw,5617da425c62cf00118231b8
76,5617da425c62cf00118231b8,2,study,8,pelican,5617da425c62cf00118231b8
77,5617da425c62cf00118231b8,2,study,9,bracelet,5617da425c62cf00118231b8
78,5617da425c62cf00118231b8,2,study,10,oyster,5617da425c62cf00118231b8
