,subject,list,item,input,output,study,recall,repeat,intrusion,prior_list,prior_input,word,corr_rule_numeric,rel_subj_boundary,block,run,points,sona_id
0,53987712fdf99b68e3a45021,1,desk,1.0,,True,False,0,False,,,desk,2.0,0.0,1.0,1.0,0.0,53987712fdf99b68e3a45021
1,53987712fdf99b68e3a45021,1,pretzel,2.0,,True,False,0,False,,,pretzel,2.0,1.0,1.0,1.0,0.0,53987712fdf99b68e3a45021
2,53987712fdf99b68e3a45021,1,whale,3.0,,True,False,0,False,,,whale,2.0,2.0,1.0,1.0,1.0,53987712fdf99b68e3a45021
3,53987712fdf99b68e3a45021,1,ostrich,4.0,,True,False,0,False,,,ostrich,2.0,3.0,1.0,1.0,1.0,53987712fdf99b68e3a45021
4,53987712fdf99b68e3a45021,1,city,5.0,,True,False,0,False,,,city,2.0,4.0,1.0,1.0,0.0,53987712fdf99b68e3a45021
5,53987712fdf99b68e3a45021,1,bed,6.0,,True,False,0,False,,,bed,2.0,-3.0,1.0,1.0,1.0,53987712fdf99b68e3a45021
6,53987712fdf99b68e3a45021,1,sun,7.0,18.0,True,True,0,False,,,sun,2.0,-2.0,1.0,1.0,1.0,53987712fdf99b68e3a45021
7,53987712fdf99b68e3a45021,1,stool,8.0,,True,False,0,False,,,stool,2.0,-1.0,1.0,1.0,1.0,53987712fdf99b68e3a45021
8,53987712fdf99b68e3a45021,1,hippo,9.0,,True,False,0,False,,,hippo,0.0,0.0,2.0,1.0,0.0,53987712fdf99b68e3a45021
9,53987712fdf99b68e3a45021,1,glacier,10.0,,True,False,0,False,,,glacier,0.0,1.0,2.0,1.0,1.0,53987712fdf99b68e3a45021
10,53987712fdf99b68e3a45021,1,lemon,11.0,,True,False,0,False,,,lemon,0.0,2.0,2.0,1.0,0.0,53987712fdf99b68e3a45021
11,53987712fdf99b68e3a45021,1,redwood,12.0,,True,False,0,False,,,redwood,0.0,3.0,2.0,1.0,1.0,53987712fdf99b68e3a45021
12,53987712fdf99b68e3a45021,1,brush,13.0,6.0,True,True,0,False,,,brush,0.0,-3.0,2.0,1.0,1.0,53987712fdf99b68e3a45021
13,53987712fdf99b68e3a45021,1,notebook,14.0,12.0,True,True,0,False,,,notebook,0.0,-2.0,2.0,1.0,1.0,53987712fdf99b68e3a45021
14,53987712fdf99b68e3a45021,1,ferry,15.0,,True,False,0,False,,,ferry,0.0,-1.0,2.0,1.0,1.0,53987712fdf99b68e3a45021
15,53987712fdf99b68e3a45021,1,jar,16.0,,True,False,0,False,,,jar,1.0,0.0,3.0,1.0,0.0,53987712fdf99b68e3a45021
16,53987712fdf99b68e3a45021,1,office,17.0,,True,False,0,False,,,office,1.0,1.0,3.0,1.0,0.0,53987712fdf99b68e3a45021
17,53987712fdf99b68e3a45021,1,lamb,18.0,,True,False,0,False,,,lamb,1.0,2.0,3.0,1.0,0.0,53987712fdf99b68e3a45021
18,53987712fdf99b68e3a45021,1,brick,19.0,,True,False,0,False,,,brick,1.0,3.0,3.0,1.0,1.0,53987712fdf99b68e3a45021
19,53987712fdf99b68e3a45021,1,meadow,20.0,,True,False,0,False,,,meadow,1.0,-3.0,3.0,1.0,1.0,53987712fdf99b68e3a45021
20,53987712fdf99b68e3a45021,1,island,21.0,,True,False,0,False,,,island,1.0,-2.0,3.0,1.0,1.0,53987712fdf99b68e3a45021
21,53987712fdf99b68e3a45021,1,pearl,22.0,,True,False,0,False,,,pearl,1.0,-1.0,3.0,1.0,1.0,53987712fdf99b68e3a45021
22,53987712fdf99b68e3a45021,1,stove,23.0,,True,False,0,False,,,stove,2.0,0.0,4.0,1.0,0.0,53987712fdf99b68e3a45021
23,53987712fdf99b68e3a45021,1,goggle,24.0,,True,False,0,False,,,goggle,2.0,1.0,4.0,1.0,0.0,53987712fdf99b68e3a45021
24,53987712fdf99b68e3a45021,1,walnut,25.0,,True,False,0,False,,,walnut,2.0,2.0,4.0,1.0,0.0,53987712fdf99b68e3a45021
25,53987712fdf99b68e3a45021,1,match,26.0,,True,False,0,False,,,match,2.0,3.0,4.0,1.0,0.0,53987712fdf99b68e3a45021
